source,target,id,developer_comments
flow_title#00-000,[Hometown After 2 Years],flow_title#00-000,【２年ぶりの故郷】
flow_information#00-000,"July 22, 2018. Shinpei Ajiro, who lived in Tokyo, returned to his hometown, Hitogashima Island, after two years. During the ferry ride to his hometown, Shinpei had a strange experience.",flow_information#00-000,【２年ぶりの故郷】
flow_title#00-001,1. To Hitogashima Island,flow_title#00-001,1.日都ヶ島へ
flow_title#00-002,[Common Route - 2nd Loop],flow_title#00-002,【共通ルート・２周目】
flow_information#00-002,"Shinpei encountered a situation where Mio in her school uniform pointed a gun at Mio. He was shot by the Shadow Mio. Waking up on the ferry, Shinpei felt a sense of familiarity toward the woman in front of him. Checking the date on his phone, he saw ""Yesterday"" - July 22nd. After getting off the ferry, Shinpei was approached by a girl who had been on the same ferry. She was Kaori Koyuba, a classmate from his elementary school who had transferred away seven years ago.",flow_information#00-002,【共通ルート・２周目】
flow_title#00-003,2. Shaken by the Ferry,flow_title#00-003,2.フェリーに揺られて
flow_title#00-005,3. The Brakes Won't Work!?,flow_title#00-005,3.ブレーキが利かない！？
flow_title#00-006,[Common Route - 4th Loop],flow_title#00-006,【共通ルート・４周目】
flow_information#00-006,"Having looped from the festival day's tragedy, Shinpei felt relieved upon seeing Mio's appearance. However, he noticed that the starting point of each loop was gradually getting later, and he finally understood the meaning behind Ushio's words, ""There are limits to my power.""",flow_information#00-006,【共通ルート・４周目】
flow_title#00-007,4. Nostalgic Slopes,flow_title#00-007,4.懐かしい坂道
flow_title#00-009,5. The Funeral,flow_title#00-009,5.告別式
flow_title#00-012,6. A Meal Without Tides,flow_title#00-012,6.潮のいない食卓
flow_title#00-014,7. Yoshikawa Line,flow_title#00-014,7.吉川線
flow_title#00-015,8. Lunch Time①,flow_title#00-015,8.ランチタイム①
flow_title#00-019,19. Lunch Time②,flow_title#00-019,19.ランチタイム②
flow_title#00-022,9. Shadow Sickness,flow_title#00-022,9.影の病
flow_title#00-023,10. Two Mios!?,flow_title#00-023,10.澪が二人！？
flow_title#00-024,11. Memories of a Water Disaster,flow_title#00-024,11.水難事故の記憶
flow_title#00-026,[Common Route - 3rd Loop],flow_title#00-026,【共通ルート・３周目】
flow_information#00-026,"Shinpei was killed again by the Shadow Mio. When he awoke again, he was back to July 22nd. Before him was Kaori, looking worried. Why had he returned? As Shinpei pondered, Mio appeared for the third time, riding a bicycle.",flow_information#00-026,【共通ルート・３周目】
flow_title#00-027,12. Reuniting with Kaori,flow_title#00-027,12.かおりとの再会
flow_title#00-031,"13. Again, Mio…!?",flow_title#00-031,13.またしてもミオに……！？
flow_title#00-033,14. The Upside-Down Woman,flow_title#00-033,14.逆さの女性
flow_title#00-034,15. Preparing for Mio's Visit,flow_title#00-034,15.ミオの来訪に備えて
flow_title#00-035,16. Evidence Video,flow_title#00-035,16.証拠動画
flow_title#00-036,17. Infected from the Start…,flow_title#00-036,17.感染していた、最初から……
flow_title#00-037,18. Asking About the Woman in Glasses,flow_title#00-037,18.眼鏡の女性を尋ねて
flow_title#00-038,20. Sou's Visit,flow_title#00-038,20.窓の来店
flow_title#00-040,21. Shell Necklace,flow_title#00-040,21.貝のネックレス
flow_title#00-042,22. Mesopotamian Civilization,flow_title#00-042,22.メソポタミア文明
flow_title#00-043,23. Festival and Yukata,flow_title#00-043,23.お祭りと浴衣姿
flow_title#00-046,24. Shinpei Likes You,flow_title#00-046,24.慎平が好き
flow_title#00-047,25. Isn't That the Tide Itself?,flow_title#00-047,25.潮そのものやんか
flow_title#00-048,26. Umi-okuri (Sea Send-off),flow_title#00-048,26.御海送り
flow_title#00-049,27. Corpses Piled Up,flow_title#00-049,27.死屍累々
flow_title#00-050,28. The End of the World,flow_title#00-050,28.世界の終わり
flow_title#00-053,29. Hizuru Minakata,flow_title#00-053,29.南方ひづる
flow_title#00-054,30. Mysterious Woman,flow_title#00-054,30.謎の女性
flow_title#00-055,31. The Fourth Funeral - Interrogation,flow_title#00-055,31.四度目の葬儀～聞き込み
flow_title#00-056,32. Mysterious Code,flow_title#00-056,32.謎の暗号
flow_title#00-057,[Common Route - 5th Loop],flow_title#00-057,【共通ルート・５周目】
flow_information#00-057,"Shinpei successfully looped after being in a life-or-death situation at Hiruko Cave. To gain the trust of Hizuru and Nezu, who he hadn't been able to cooperate with previously, he relied on Ushio's power.",flow_information#00-057,【共通ルート・５周目】
flow_title#00-058,33. You're a Time Traveler,flow_title#00-058,33.キミはタイムトラベラーだ
flow_title#00-060,34. Elimination Operation,flow_title#00-060,34.駆除作戦
flow_title#00-061,35. Capture the Shadow,flow_title#00-061,35.影を捕獲しろ
flow_title#00-062,36. Don't Be Deceived by the Shadow,flow_title#00-062,36.影に惑わされるな
flow_title#00-063,37. Uninvited Visitor?,flow_title#00-063,37.招かれざる訪問者？
flow_title#00-064,38. Ushio and Mio,flow_title#00-064,38.ウシオとミオ
flow_title#00-065,39. Responsibility,flow_title#00-065,39.責任
flow_title#00-066,40. A Morning with Ushio,flow_title#00-066,40.ウシオのいる朝
flow_title#00-067,41. Reuniting with Ushio and Sou,flow_title#00-067,41.ウシオと窓の再会
flow_title#00-068,42. Tide Video①,flow_title#00-068,42.潮の動画①
flow_title#00-069,43. Tide Video②,flow_title#00-069,43.潮の動画②
flow_title#00-070,44. The Beach on July 21st,flow_title#00-070,44.７月２１日の浜辺
flow_title#00-071,45. Promissory Note,flow_title#00-071,45.手形
flow_title#00-072,46. Rainy Monday,flow_title#00-072,46.雨の月曜日
flow_title#00-074,47. Hishigata Clinic Old Wing,flow_title#00-074,47.菱形医院旧病棟
flow_title#00-075,48. Battle Against the Shadow,flow_title#00-075,48.影との戦闘
flow_title#00-076,49. Underground Cave,flow_title#00-076,49.地下洞窟
flow_title#00-077,50. Shiori Who Should Have Disappeared,flow_title#00-077,50.消えたはずのシオリ
flow_title#00-078,51. Unexpected Person,flow_title#00-078,51.意外な人物
flow_title#00-079,52. Hiruko Cave,flow_title#00-079,52.ヒルコ洞
flow_title#00-080,53. Roz and Guildenstern,flow_title#00-080,53.ロズとギル
flow_title#00-081,54. A Fierce Something,flow_title#00-081,54.悍ましい何か
flow_title#00-082,55. Haine,flow_title#00-082,55.ハイネ
flow_title#00-083,56. Champion of Justice,flow_title#00-083,56.正義の味方
flow_title#00-084,57. Observer①,flow_title#00-084,57.観測者①
flow_title#00-087,58. Observer②,flow_title#00-087,58.観測者②
flow_title#00-090,[Common Route - 6th Loop],flow_title#00-090,【共通ルート・６周目】
flow_information#00-090,"Shinpei and his allies planned an operation to eliminate Haine. However, they were ambushed by Haine and Shide, who had retained their memories and were on the same timeline. Thanks to Ushio's quick thinking, Shinpei managed to loop, but he found himself right before entering Koba Mart. If he entered without any plan, he'd face the same ending as before… As the time to enter approached, Shinpei abandoned his plan.",flow_information#00-090,【共通ルート・６周目】
flow_title#00-091,"59. Koba Mart, Again!①",flow_title#00-091,59.コバマート、再び！①
flow_title#00-093,"62. Koba Mart, Again!②",flow_title#00-093,62.コバマート、再び！②
flow_title#00-096,60. 14 Years Ago①,flow_title#00-096,60.14年前①
flow_title#00-099,61. 14 Years Ago②,flow_title#00-099,61.14年前②
flow_title#00-101,[Common Route - 7th Loop],flow_title#00-101,【共通ルート・７周目】
flow_information#00-101,"Shinpei was startled to find himself looping again. By sharing Ushio's memories, he discovered the cause of death and regretted that Haine and Shide had figured out his plans. He realized their goal was to push him to the limit with loops.",flow_information#00-101,【共通ルート・７周目】
flow_title#00-102,63. The First Move is Crucial①,flow_title#00-102,63.初動が肝心①
flow_title#00-103,64. The First Move is Crucial②,flow_title#00-103,64.初動が肝心②
flow_title#00-107,65. Fake Loop and Unity,flow_title#00-107,65.疑似ループ、そして団結
flow_title#00-110,[Common Route - 8th Loop],flow_title#00-110,【共通ルート・８周目】
flow_information#00-110,"Shinpei's team used a rifle that materialized with a time delay to shoot Haine from multiple directions. However, they were killed by Shide, who had transformed into a giant spider. As the Event Horizon approached, the battle had already begun in the loop.",flow_information#00-110,【共通ルート・８周目】
flow_title#00-111,66. Intense Battle at the School,flow_title#00-111,66.学校の激闘
flow_title#00-114,68. The Spider's Form,flow_title#00-114,68.蜘蛛の姿
flow_title#00-117,67. Interrogating Mio,flow_title#00-117,67.ミオへの尋問
flow_title#01-000,[To the Hishigata Clinic],flow_title#01-000,【菱形医院へ】
flow_information#01-000,"Although Haine and Shide escaped, Shinpei's team won the intense battle without any casualties. If Seidou Hishigata, who had connections to the shadows, knew Haine's purpose, they might have the answers. The group headed toward the Hishigata Clinic.",flow_information#01-000,【菱形医院へ】
flow_title#01-001,1. The Secret of the Hishigata Family,flow_title#01-001,1.菱形家の秘密
flow_title#01-002,2. A Final Decision,flow_title#01-002,2.けじめ
flow_title#01-003,3. Team Assignments,flow_title#01-003,3.チーム分け
flow_title#01-004,4. Bitch,flow_title#01-004,4.ぶっちー
flow_title#01-005,[Tide Route - 8th Loop],flow_title#01-005,【潮ルート・８周目】
flow_information#01-005,"After finally uncovering Shide's true identity, Shinpei fell into a trap and was killed by Ushio. When Shinpei looped, Ushio was nowhere to be seen, and he was engulfed in despair. Just then, Haine appeared, surrounding Shinpei with stray shadows to confirm his death.",flow_information#01-005,【潮ルート・８周目】
flow_title#01-006,5. Children in Crisis,flow_title#01-006,5.子供たちの危機
flow_title#01-008,6. Reunite and Report the Situation,flow_title#01-008,6.合流そして状況報告
flow_title#01-009,7. Hitogashima Shrine,flow_title#01-009,7.日都神社
flow_title#01-010,8. Shide,flow_title#01-010,8.シデ
flow_title#01-012,[Tide Route - 9th Loop],flow_title#01-012,【潮ルート・９周目】
flow_information#01-012,"After losing many companions due to Haine's strategy, Shinpei decided to loop. Starting again from Mt. Takanosu, Shinpei rushed to Kofune to secure Mio and Sou's safety as quickly as possible.",flow_information#01-012,【潮ルート・９周目】
flow_title#01-013,9. A Call from Me?,flow_title#01-013,9.オレからの電話？
flow_title#01-015,[Tide Route - 10th Loop],flow_title#01-015,【潮ルート・１０周目】
flow_information#01-015,"Determined to stop Hizuru's death, Shinpei forced a loop despite her protests. To save Hizuru, he needed to arrive at Torashima Island as quickly as possible. However, this was a dangerous gamble that risked losing everything.",flow_information#01-015,【潮ルート・１０周目】
flow_title#01-016,10. Divided Companions①,flow_title#01-016,10.分断された仲間たち①
flow_title#01-020,13. Divided Companions②,flow_title#01-020,13.分断された仲間たち②
flow_title#01-022,14. A Desperate Stand,flow_title#01-022,14.背水の陣
flow_title#01-024,11. The Final Move①,flow_title#01-024,11.奥の手①
flow_title#01-026,15. The Final Move②,flow_title#01-026,15.奥の手②
flow_title#01-028,12. Many Sacrifices,flow_title#01-028,12.たくさんの犠牲
flow_title#01-031,16. The Last Night,flow_title#01-031,16.最後の夜
flow_title#01-032,17. Hope,flow_title#01-032,17.希望
flow_title#01-033,[Tide Route - 10th Loop],flow_title#01-033,【潮ルート・１０周目】
flow_information#01-033,"Shinpei successfully retrieved Ushio and outwitted Haine using the loop. At Hiruko Cave, the final battle finally began.",flow_information#01-033,【潮ルート・１０周目】
